text,original_label,label_name,checked_label,comment;;;;;;;;;;;;
Thirst, Fear and Bribes on Desert Escape from Africa  AGADEZ, Niger (Reuters) - Customs officers in this dusty  Saharan town turned a blind eye as yet another creaking truck  piled with grain, smuggled cigarettes and dozens of migrants  heading for Europe rumbled off into the desert.,0,World,0.0,;;;;;;;;;;;;
Toshiba 20 TV freaks out, sends distress signal See what happens when your warranty runs out?. In this case, a 20 Toshiba owned by Chris van Rossman started sending out the international distress signal at 121.,3,Sci/Tech,3.0,;;;;;;;;;;;;
"British hostage tried fleeing before death: report The portrait of Ken Bigley, who was murdered in Iraq October 7, stands in front of the congregation during a service at Liverpool #39;s Roman Catholic Cathedral on October 10.,3,Sci/Tech,0.0,";;;;;;;;;;;;
Keychain clicker kills TVs Discrete device turns off televisions, creating a little peace and quiet. Until the yelling starts.,3,Sci/Tech,3.0,;;;;;;;;;;;;
Cleric returns to Iraq, orders march on Najaf Powerful Shiite leader says he plans to lead a mass demonstration today to end fighting.  Iraqi hostage: Militants said Wednesday they had kidnapped the brother-in-law of Iraqi Defense Minister Hazem Shaalan ,0,World,0.0,;;;;;;;;;;;;
Hewitt Beats Roddick to Reach Masters Final  HOUSTON (Reuters) - A fired-up Lleyton Hewitt defused  hard-hitting Andy Roddick 6-3, 6-2 on Saturday, scurrying into  the final of the Masters Cup for the third time in four years.,1,Sports,1.0,;;;;;;;;;;;;
Despite booming economy, no concrete move on debt relief (AFP) AFP - Senior finance officials have hailed a robust global economic recovery, albeit one threatened by surging oil prices, but made little headway pushing China toward currency reform and took no firm steps to ease the debt of the world's poorest nations.,2,Business,2.0,;;;;;;;;;;;;
Ethiopian court sentences 3 former rebels to death for mass murders (Canadian Press) Canadian Press - ADDIS ABABA, Ethiopia (AP) - A court has sentenced three former rebels to death for killing dozens of people while rebel factions jockeyed for power more than a decade ago, a government spokesman said Thursday.,0,World,0.0,;;;;;;;;;;;;
Just a close call for closer No need to check with your primary care provider about the origin of that nervous tic you woke up with this morning, on the first full day of autumn. Ninth-inning home runs allowed in three consecutive games by Sox closer Keith Foulke, who also was tagged with blown saves in each of the last two games, were enough to leave ...,1,Sports,1.0,;;;;;;;;;;;;
Study: Wild Monkeys Resort to Use of Tools WASHINGTON - Wild South American monkeys routinely use fist-sized rocks to crack open seeds and to dig in dry Brazilian soil for grubs and edible tubers, researchers report in the journal Science.,3,Sci/Tech,3.0,;;;;;;;;;;;;
Bryant's Request to Seal Evidence Opposed (AP) AP - The prosecutor who charged Kobe Bryant with felony sexual assault has joined news organizations in opposing an attempt by the NBA star's attorney to permanently seal evidence and documents in the case.,1,Sports,0.0,;;;;;;;;;;;;
Eagles have lift off Crystal Palace were triumphant last night (Oct 4) over 10-man Fulham at Selhurst Park, lifting themselves off the bottom of the Premiership.,1,Sports,1.0,;;;;;;;;;;;;
Perens hits out at Sun over OpenOffice Open source developers who contribute to OpenOffice should stop donating their code to Sun Microsystems, open source advocate Bruce Perens has urged.,3,Sci/Tech,3.0,;;;;;;;;;;;;
North Korea Talks May Be Victim of U.S. Election (Reuters) Reuters - Hopes for a September round of\six-party talks on the North Korean nuclear crisis were\evaporating on Tuesday as Pyongyang hinted it was awaiting the\outcome of the U.S. presidential race.,0,World,0.0,;;;;;;;;;;;;
US insurers reel amid fix probe Insurance firms are left  reeling as New York attorney general Elliot Spitzer sues Marsh   McLennan, the world's largest insurance broker, for taking illegal payments.,2,Business,2.0,;;;;;;;;;;;;
Martha ink expert found not guilty In a major blow to Martha Stewart, the government ink expert who testified during her trial was found not guilty of perjury after less than two days of jury deliberations.,2,Business,0.0,;;;;;;;;;;;;
NL Notables Albert Pujols of the Cardinals became the fourth player to start his major league career with four straight seasons with at least 100 RBIs, joining Hall of Famers Al Simmons , Joe DiMaggio , and Ted Williams .,1,Sports,1.0,;;;;;;;;;;;;
NIH was warned in '02 on AIDS drug for Africa WASHINGTON -- Weeks before President Bush announced a plan to protect African babies from AIDS, top US health officials were warned that research in Uganda on the key drug was flawed and may have underreported severe reactions, including deaths, government documents show.,0,World,0.0,;;;;;;;;;;;;
Point taken AUBURN, Ala. -- The ball finally got to Courtney Taylor, the flag rescued John Vaughn, and No. 14 Auburn proved itself a Southeastern Conference contender.,1,Sports,1.0,;;;;;;;;;;;;
