text,label
 has paid his own way at thousands of hotels worldwide and published his impressions without fear or favor. We recently met him at a secure location in downtown Manhattan.,2
 an Italian club official says.,1
 police said.,0
 the threats from the Taliban ,0
 and those who enjoyed the original are in for a treat.,3
 the ones who have not had a moment's peace since alighting on the Fens.,1
 killing at least 10 on the third bloody day of a massive Israeli incursion into the ,0
 with the help of modern technology. Perhaps this might help those of you who have been planning on learning a language some day.  ,3
 AAA said.,2
 Padraig Harrington and David Howell are the only members of the European Ryder Cup team left in the Heritage Tournament at Woburn.,1
 there is a sheltered cove that has witnessed the full span of the human relationship with whales. ,3
 with free music and open-source software for all. Welcome to Brazil! By Julian Dibbell from Wired magazine.,3
 a move Major League Baseball  (MLB) called unacceptable.,1
 driven by an increase in room rates.,2
 Research) on Tuesday said quarterly earnings rose 13 percent and raised its profit forecast for the year as strong sales at its fast-food chains helped offset a run-up in commodity costs.,2
 genocidal past.,0
 but compensation changes for other Microsoft workers as stock grants replace options.\,3
  ground and freight services.,2
 two-month Xbox Live trial for \$149.99. Microsoft today announced the details of its Xbox holiday bundle.,3
 130km above planet Earth.,3
 but her battling effort may  still might not be enough to get her into the semifinals.,1
 concerns about\sluggish job growth and high energy prices.,2
 and both teams were satisfied.,1
 days after Coca-Cola Co.,2
 now trading as part of the Big Food Group.,2
000 supporters of the main opposition Awami League.,0
 a report said on Tuesday.,2
 recently visited ,2
 which benefited from the series of hurricanes that hit Florida and other parts of the Southeast US during the period.,2
 an international association that brings together some 220 consumer ,3
 apparently paving the way for Steve Spurrier to replace him.,1
 trapping as many as 166 miners in what could be the worst disaster to hit the worlds most dangerous mining industry in years.,0
 company executives boast about a  10 percent to 30 percent increase in performance and support for  Apple's Power Mac G5.,3
 but because it had some features and capabilities that its only real ...,3
 an Air Force official said on Tuesday.,3
 hospitals and in the home  countries of European tourists hit by the wave.,0
 as an overwhelming majority of the workers gave their leaders a green light to call a walkout.,2
 Muslim and Serb nationalists.,0
 grabbing Adrian Beltre off the free-agent market.,1
200 patients.,2
 the technology company said on Wednesday.,2
 citing civil defense officials.,0
 but Microsoft Corp.,3
 as Bolton caused one of the biggest surprises of the season so far.,1
 Research) on Thursday asked a court to impose wage and benefit cuts on its union employees to save ,2
 the source said on the condition of anonymity.,1
000 for illegal hits during last weekend's game with the Cleveland Browns.,1
 agreed to buy Barneys for \$400 million. Analysts have questions about the deal.,2
 adding it was well-placed to combat the threat of record high oil prices and fierce competition.,2
 mighty predators in the age of reptiles.,3
 a new product that helps users personalize their\Internet searches.,3
 but he dented Wall Street expectations by saying ,2
 and 18th in blocks.,1
 automatically opening a Web browser to display results on an Internet search site.,3
 boosted by investors betting ,2
 to build a brighter future.,1
 should not continue doing so. This is because the domestic market is going to grow into a huge opportunity ,3
 political analysts said on Tuesday.,0
 yesterday in Houston and move into the wild-card lead with their 12th straight win.,1
048) Tashkent Open tennis tournament.,1
 missing estimates.,2
 and J.J. Arrington ran for 188 ...,1
 fought their way into a  lawless slum in the Haitian capital on Tuesday in their first  attempt to end a killing spree by warring street gangs.,0
 a government official confirmed.,0
 it\said on Friday.,3
 partly because advertising sales increased at its cable-television networks including Fox News Channel.,2
 make online reservations at your favorite restaurant and pinpoint the best route around a traffic jam -- all from the comfort of your moving vehicle.,3
 a police official said.,0
 21-ton armored vehicles and American soldiers with black M-4 assault rifles stood between tens of thousands of people and their homes last week.,0
 or even convert Sao Tome dobras to Malawi kwacha.,3
 had ,3
 for killing dreaded forest ,0
 which comprise half of the global economy.,0
 but officials said  they had no clues to the motive.,0
 with Italian TV and radio running special bulletins through the night.,0
 decided to start forging a strategic partnership between the EU and India.,2
 Belgium - 10/07/04 - Whatever meager goodwill was gained by the move yesterday - albeit tardy - by Congress to act on the contentious Foreign Sales Corporation - Extraterritorial Income Act (FSC-ETI) export tax mechanism has ,2
 the natural gas company said on Thursday.,2
 told  Iraqi security forces on Sunday protecting their nation's  sovereignty was their duty.,0
 and may seek another delay of its annual meeting.,2
 visited Kabul on Nov. 22 and reiterated that the United States will continue to search for al-Qaida leader Osama bin Laden.,0
